name,category,details_url,rating_stars,address,opening_status,corona_status,email,phone,website,book_a_table
Menuiserie de La Claire SA,"Carpenter, Windows",https://www.local.ch/en/d/le-locle/2400/carpenter/menuiserie-de-la-claire-sa-De1Mit-WoeWOaOkXLLpo5g?dwhere=Switzerland,5.0,"La Claire 1, 2400 Le Locle",Open now until 17:00,Despite the Corona crisis there for you!,info@laclairesa.ch,032 931 41 35,http://www.laclairesa.ch,http://laclairesa.ch
Portas-Fachbetrieb Maack AG,"Carpenter, Renovations",https://www.local.ch/en/d/wohlenschwil/5512/carpenter/portas-fachbetrieb-maack-ag-l6cdwitotjVpMMzN7fpLKg?dwhere=Switzerland,4.2,"Laubisbachstrasse 24, 5512 Wohlenschwil",Open now until 17:00,Despite the Corona crisis there for you!,info@maack.ch,,http://www.maack.portas.ch,
APTO Sàrl,"Horticulture and garden maintenance, Garden maintenance, Landscaping, Tree care",https://www.local.ch/en/d/coppet/1296/horticulture-and-garden-maintenance/apto-sarl-FQVzvFgOiu0ApTMkq5EUiw?dwhere=Switzerland,,"Route Suisse 68, 1296 Coppet",Open now until 17:00,Despite the Corona crisis there for you!,,022 732 37 90,http://www.apto.ch,http://www.apto.ch/contact.html
Bleuler Gärten,"Horticulture and garden maintenance, Garden maintenance, Landscaping, Plastering",https://www.local.ch/en/d/langnau-am-albis/8135/horticulture-and-garden-maintenance/bleuler-gaerten-IiIxeAe0SaXkT6X91JoVfA?dwhere=Switzerland,,"Albisstrasse 54, 8135 Langnau am Albis",Open now until 19:00,Despite the Corona crisis there for you!,k.bleuler@bleulergarten.ch,079 400 75 46,https://www.bleulergarten.ch,https://www.bleulergarten.ch/kontakt
Bösch-Gärten GmbH,"Horticulture and garden maintenance, Garden maintenance, Building and property management",https://www.local.ch/en/d/neerach/8173/horticulture-and-garden-maintenance/boesch-gaerten-gmbh-iK-i7V5FQwY86NW1B6lRYg?dwhere=Switzerland,3.9,"Hofacherstrasse 10, 8173 Neerach",,Despite the Corona crisis there for you!,,079 412 47 04,http://www.boeschgaerten.ch,https://boeschgaerten.ch/kontakt
Brühwiler-Gartenbau,"Horticulture and garden maintenance, Tree care",https://www.local.ch/en/d/langnau-am-albis/8135/horticulture-and-garden-maintenance/bruehwiler-gartenbau-bOR__KeuyUxSBCxLPCZndw?dwhere=Switzerland,,"Quellenstrasse 15, 8135 Langnau am Albis",Open now until 17:00,Despite the Corona crisis there for you!,bruehwiler.gartenbau@bluewin.ch,044 710 64 64,https://www.bruehwiler-gartenbau.ch,https://www.bruehwiler-gartenbau.ch/gartenbau-kontakt
Buchter Gärten GmbH,"Horticulture and garden maintenance, Natural stones",https://www.local.ch/en/d/affoltern-am-albis/8910/horticulture-and-garden-maintenance/buchter-gaerten-gmbh-xXXR6cSR4Vuo0V-FVGNOHg?dwhere=Switzerland,5.0,"Lindenmoosstrasse 4, 8910 Affoltern am Albis",,Despite the Corona crisis there for you!,info@buchtergaerten.ch,079 761 38 46,http://www.buchtergaerten.ch,https://www.buchtergaerten.ch/contact
"Darioli Paysagiste Concept et Création, Darioli Florian","Horticulture and garden maintenance, Landscaping",https://www.local.ch/en/d/baar-nendaz/1996/horticulture-and-garden-maintenance/darioli-paysagiste-concept-et-creation-darioli-florian-bxdutIYi925O3AB3vag7UA?dwhere=Switzerland,,"Route de Plan Baar 4, 1996 Baar (Nendaz)",Open now until 18:00,Despite the Corona crisis there for you!,florian@darioli-paysagiste.ch,079 776 97 18,http://www.darioli-paysagiste.ch,https://www.darioli-paysagiste.ch/contact
Die Privatgärtner GmbH,"Horticulture and garden maintenance, Garden maintenance, Tree care, Landscaping, Interior decor",https://www.local.ch/en/d/zuerich/8049/horticulture-and-garden-maintenance/die-privatgaertner-gmbh-vZZrYTZJy34VVwSV03gs6Q?dwhere=Switzerland,4.8,"Limmattalstrasse 247, 8049 Zürich",Open now until 17:30,Despite the Corona crisis there for you!,,043 811 80 49,http://www.privatgaertner.ch,http://www.privatgaertner.ch/kontakt
Flükiger Gartenbau,"Horticulture and garden maintenance, Garden maintenance",https://www.local.ch/en/d/kuesnacht-zh/8700/horticulture-and-garden-maintenance/fluekiger-gartenbau-kykUpej_YI7xjf222PS0YA?dwhere=Switzerland,5.0,"Schiedhaldenstrasse 67, 8700 Küsnacht ZH",,Despite the Corona crisis there for you!,konifluekiger@hotmail.com,079 303 54 65,http://www.flükiger-gartenbau.ch,https://www.flükiger-gartenbau.ch/kontakt
Frischholz Benjamin,"Horticulture and garden maintenance, Garden maintenance, Landscaping, Market garden",https://www.local.ch/en/d/tannay/1295/horticulture-and-garden-maintenance/frischholz-benjamin-VgHeiwhTo5VF94Np9YwssA?dwhere=Switzerland,,"Chemin de la Dôle 32, 1295 Tannay",Open now until 19:00,Despite the Corona crisis there for you!,info@frischholz-paysagiste.ch,079 546 47 85,https://frischholz-paysagiste.ch,https://frischholz-paysagiste.ch
Garden Paysage Yves Favre SA,"Horticulture and garden maintenance, Landscaping, Garden maintenance",https://www.local.ch/en/d/granges-vs/3977/horticulture-and-garden-maintenance/garden-paysage-yves-favre-sa-osBGmXAazqmuUOs41V5hew?dwhere=Switzerland,5.0,"Route de la Crête d'Or 20, 3977 Granges VS",Open now until 23:59,Despite the Corona crisis there for you!,info@garden-paysage.ch,079 628 07 47,http://www.garden-paysage.ch,http://garden-paysage.ch?page_id=14
la Grenette SA,"Cheese making, Grocery",https://www.local.ch/en/d/conthey/1964/cheese-making/la-grenette-sa-lr1gJC_VICBfyWrziZnPCQ?dwhere=Switzerland,5.0,"Route Cantonale 28, 1964 Conthey",Open now until 18:30,Despite the Corona crisis there for you!,,027 322 29 03,http://www.la-grenette.ch,https://www.la-grenette.ch/contact
Alex Terroir,"Regional products, Milk and milk products, Cheese making, Grocery store, Cheese specialties",https://www.local.ch/en/d/bulle/1630/regional-products/alex-terroir-mcVUWUZ5NVb95r4fqVB0Sw?dwhere=Switzerland,5.0,"Route de Riaz 34, 1630 Bulle",Currently closed,Despite the Corona crisis there for you!,admin@alex-terroir.ch,,http://www.alex-terroir.ch,
Crémerie Végane Sàrl,"Cheese making, Vegetarian specialties, Grocery store, Online Shopping",https://www.local.ch/en/d/geneve/1205/cheese-making/cremerie-vegane-sarl-pD6Ph5A5YU7mnUWR3pqY0Q?dwhere=Switzerland,,"Rue de la Ferme 9, 1205 Genève",Currently closed,Despite the Corona crisis there for you!,info@cremerievegane.com,,http://www.cremerievegane.mycommerce.shop,
Fromagerie de Nods,"Cheese making, Cheese, wholesale",https://www.local.ch/en/d/nods/2518/cheese-making/fromagerie-de-nods-2RNHM05lfgntVSr8oGPfgg?dwhere=Switzerland,5.0,"Route de Lignières 5, 2518 Nods",Currently closed,Despite the Corona crisis there for you!,,,http://www.fromagerie-de-nods.ch,
Fromagerie des Reussilles SA,"Cheese making, Regional products",https://www.local.ch/en/d/les-reussilles/2722/cheese-making/fromagerie-des-reussilles-sa-JDPjbadpi6-VKAIXox0bwQ?dwhere=Switzerland,4.8,"Le Saucy 24a, 2722 Les Reussilles",Currently closed,Despite the Corona crisis there for you!,info@fromageriesa.ch,,http://www.fromageriesa.ch,
Fromagerie Gumefens-Avry,"Cheese making, Milk and milk products",https://www.local.ch/en/d/gumefens/1643/cheese-making/fromagerie-gumefens-avry-CichwGdNIwKxdhkQ900eJQ?dwhere=Switzerland,4.8,"Vers la Chapelle 2, 1643 Gumefens",Currently closed,Despite the Corona crisis there for you!,,,http://www.fromagerie-gumefensavry.com,
SPAR Supermarkt Chur,"Grocery store, Meat, Bakery pastry shop, Cheese making, Beverages, Wine wine trade, Spirits",https://www.local.ch/en/d/chur/7000/grocery-store/spar-supermarkt-chur-zBgzlMa1X4wZ_LLVm_FTSw?dwhere=Switzerland,4.7,"Freifeldstrasse 27, 7000 Chur",Open now until 19:00,Despite the Corona crisis there for you!,chur@spar.ch,,http://www.spar.ch,
SPAR Supermarkt Otelfingen,"Grocery store, Wine wine trade",https://www.local.ch/en/d/otelfingen/8112/grocery-store/spar-supermarkt-otelfingen-TQOR1wu2QeOS63hoolu2fA?dwhere=Switzerland,4.8,"Landstrasse 8, 8112 Otelfingen",Open now until 21:00,Despite the Corona crisis there for you!,otelfingen@spar.ch,044 844 11 80,http://www.spar.ch/spar-maerkte/kuehne-stephan0,
Bäckerei-Conditorei Tschumi AG,"Bakery pastry shop, Grocery store",https://www.local.ch/en/d/weggis/6353/bakery-pastry-shop/baeckerei-conditorei-tschumi-ag-li0PM1wUnaZ3fooNAjm8gA?dwhere=Switzerland,4.9,"Luzernerstrasse 44, 6353 Weggis",Open now until 18:30,Despite the Corona crisis there for you!,mp.weggis@migrosluzern.ch,041 391 06 06,http://www.tschumi-beck.ch,
Calendula,"Bioproducts, Grocery store",https://www.local.ch/en/d/adliswil/8134/bioproducts/calendula-gS2vctN8onwp9mpUlfEXsQ?dwhere=Switzerland,4.7,"Soodstrasse 13, 8134 Adliswil",Open now until 18:30,Despite the Corona crisis there for you!,,044 710 21 09,https://www.bioladen-calendula.ch,https://www.bioladen-calendula.ch
LANDI Vallée de Tavannes,"Agricultural cooperative, Florist, Petrol station, Heating oil, Grocery store, Agricultural",https://www.local.ch/en/d/pontenet/2733/agricultural-cooperative/landi-vallee-de-tavannes-Egg6hRRWgd_Si3NIOMH12g?dwhere=Switzerland,4.8,"Route Cantonale 1, 2733 Pontenet",Open now until 18:30,Despite the Corona crisis there for you!,,058 476 91 00,http://www.landipontenet.ch,http://www.landipontenet.ch/magasin-landi/ma-landi
Metzgerei Weiss GmbH,"Butcher, Grocery store, Catering, Catering service, Sausages, Meat",https://www.local.ch/en/d/hausen-am-albis/8915/butcher/metzgerei-weiss-gmbh-rR_NnYAcpFkhONXg5Iw81A?dwhere=Switzerland,4.8,"Ebertswilerstrasse 10, 8915 Hausen am Albis",Currently closed,Despite the Corona crisis there for you!,,044 767 09 27,http://www.weiss-metzgerei.ch/cms/index.php?index,http://www.weiss-metzgerei.ch/cms/index.php?oeffnungszeiten-standorte
Metzgerei Weiss GmbH,"Butcher, Sausages, Catering service, Caterer, Grocery store, Catering, Meat",https://www.local.ch/en/d/obfelden/8912/butcher/metzgerei-weiss-gmbh-fdrbns1MtEuAoLNd2v3--w?dwhere=Switzerland,4.0,"Alte Landstrasse 21, 8912 Obfelden",Currently closed,Despite the Corona crisis there for you!,,044 760 24 48,http://www.weiss-metzgerei.ch/cms,http://www.weiss-metzgerei.ch/cms/index.php?oeffnungszeiten-standorte
Sialm AG Fleischtrocknerei,"Butcher, Cured meats, Sausages, Grocery store",https://www.local.ch/en/d/segnas/7186/butcher/sialm-ag-fleischtrocknerei-54iTm9-PYSs3NzKanEfh4g?dwhere=Switzerland,5.0,"Via Foppas 28, 7186 Segnas",Open now until 18:00,Despite the Corona crisis there for you!,info@sialm.ch,081 947 54 34,http://www.sialm.ch,https://www.facebook.com/Sialm-AG-Fleischtrocknerei-108434765982328
Alex Terroir,"Regional products, Milk and milk products, Cheese making, Grocery store, Cheese specialties",https://www.local.ch/en/d/bulle/1630/regional-products/alex-terroir-mcVUWUZ5NVb95r4fqVB0Sw?dwhere=Switzerland,5.0,"Route de Riaz 34, 1630 Bulle",Currently closed,Despite the Corona crisis there for you!,admin@alex-terroir.ch,,http://www.alex-terroir.ch,
Gutknecht Gemüse Hofladen,"Vegetables and fruits, Farm shop",https://www.local.ch/en/d/ried-b-kerzers/3216/vegetables-and-fruits/gutknecht-gemuese-hofladen-fOVw53BFNoFH5l0hcYw3Dw?dwhere=Switzerland,4.8,"Biberenweg 1, 3216 Ried b. Kerzers",Open now until 18:30,Despite the Corona crisis there for you!,,,http://www.gutknecht-gemuese.ch,
le Promeneur,"Poultry, Eggs, Meat, Farm shop",https://www.local.ch/en/d/reverolle/1128/poultry/le-promeneur-Iweu_6FWxJttOMiL6Dlu0A?dwhere=Switzerland,5.0,"Rue de l'Eglise 7, 1128 Reverolle",Currently closed,Despite the Corona crisis there for you!,info@lepromeneur.ch,,http://www.lepromeneur.ch,
Mugnier Jacques,"Winemakers, Wine wine trade, Vegetables and fruits, Renting, Firewood, Home delivery service, Farm shop",https://www.local.ch/en/d/duillier/1266/winemakers/mugnier-jacques-W8ieJcO1RzmzCYix7hKuPQ?dwhere=Switzerland,5.0,"Rue du Vieux-Village 10, 1266 Duillier",Currently closed,Despite the Corona crisis there for you!,,,http://www.mugnier.ch,
