title,price,floor_area,location,agency,image_url
"1050! Sonnige, sehr schöne und kernsanierte DG-Maisonette mit Terrasse und Traumblick über Wien",250000,126 m²,"1050 Wien, 05. Bezirk, Margareten",Steindl & Herzel Immobilien OG,https://cache.willhaben.at/mmo/3/373/629/193_-1807682257_hoved.jpg
Modern / Zentral / 57 m2 - Nähe Margaretengürtel,879000,57 m²,"1050 Wien, 05. Bezirk, Margareten",eb Immobilienvermittlungs GmbH & Co KG,https://cache.willhaben.at/mmo/0/373/625/320_-1587878850_hoved.jpg
FAST 4. Bez. DACHERSTBEZUG 2 TERRASSEN WIENBLICK HIGH END 6./7. LIFTSTOCK HIGH END,279000,106 m²,"1050 Wien, 05. Bezirk, Margareten",H.S. Immomakler,https://cache.willhaben.at/mmo/2/380/278/362_1646457718_hoved.jpg
Lichtdurchflutete 2-Zimmer Altbauwohnung,879000,71 m²,"1050 Wien, 05. Bezirk, Margareten",aeterna immobilien GmbH,https://cache.willhaben.at/mmo/4/268/480/854_586072353_hoved.jpg
ERSTBEZUG: traumhafte Dachgeschosswohnung in Toplage,175000,104 m²,"1050 Wien, 05. Bezirk, Margareten",WINEGG Makler GmbH,https://cache.willhaben.at/mmo/5/366/340/485_210364384_hoved.jpg
Smartes 1-Zimmer Juwel in Ruhelage,399000,32 m²,"1050 Wien, 05. Bezirk, Margareten",Job Profile GmbH,https://cache.willhaben.at/mmo/4/380/128/744_1304687271_hoved.jpg
>>>VIRTUELLE 3D-BESICHTIGUNG!! FREI VERMIETBARE ERSTBEZUGS-WOHNUNG IN IMPOSANTEM ALTBAU NÄCHST 1040 WIEN!<<,329000,66 m²,"1050 Wien, 05. Bezirk, Margareten",FIRST IMMO,https://cache.willhaben.at/mmo/0/380/085/020_-1531124319_hoved.jpg
Top Anbindung/ Südloggia zum Hof/4. Liftstock,184800,87 m²,"1050 Wien, 05. Bezirk, Margareten",PlanetHome Immobilien GmbH,https://cache.willhaben.at/mmo/5/364/900/655_291369190_hoved.jpg
Provisionsfrei- 2 Zimmer- zentrale Ruhelage- U4 Nähe,160000,44 m²,"1050 Wien, 05. Bezirk, Margareten",,https://cache.willhaben.at/mmo/9/379/991/929_278197903_hoved.jpg
Wohnen und Arbeiten - Ruhige Stadtoase mit Design-Garten,1800000,340 m²,"1060 Wien, 06. Bezirk, Mariahilf",OTTO IMMOBILIEN GRUPPE,https://cache.willhaben.at/mmo/1/380/560/701_-1174146230_hoved.jpg
Prunkvolle Altbaurarität mit Rundumblick,749000,202 m²,"1060 Wien, 06. Bezirk, Mariahilf",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/9/380/544/599_-152055042_hoved.jpg
Über den Dächern des 6. Bezirks,385000,109 m²,"1060 Wien, 06. Bezirk, Mariahilf",IMMO-CONTRACT Wien,https://cache.willhaben.at/mmo/3/367/903/183_-1455556222_hoved.jpg
"Stilaltbau, Tolle Lage, 3. Lifstock, hell & ruhig, 7 Gehminuten zur Mariahilfer Straße, teilsansiert",550000,95 m²,"1060 Wien, 06. Bezirk, Mariahilf",Brehm Immobilien GmbH,https://cache.willhaben.at/mmo/8/380/355/788_759160776_hoved.jpg
"Helle, ruhige 3-4 Zimmer Wohnung in Stilaltbau, Tolle Lage, hoher Liftstock, 7 Gehminuten zur Mariahilfer Straße, teilsaniert",622000,111 m²,"1060 Wien, 06. Bezirk, Mariahilf",Brehm Immobilien GmbH,https://cache.willhaben.at/mmo/4/380/355/794_87485374_hoved.jpg
"Grünblick, Altbauwohnung in Stilaltbau mit Balkon, Hofruhelage, 2. OG, Tolle Lage",520000,77 m²,"1060 Wien, 06. Bezirk, Mariahilf",Brehm Immobilien GmbH,https://cache.willhaben.at/mmo/9/380/352/049_98952157_hoved.jpg
"Altbauwohnung (Wiederaufbau 1954), top saniert, inkl. neuer Küche, vermietet bis 2022",410000,79 m²,"1060 Wien, 06. Bezirk, Mariahilf",gfimmobilien e.U.,https://cache.willhaben.at/mmo/0/282/357/520_-959126513_hoved.jpg
Herrlicher Blick,825000,131 m²,"1060 Wien, 06. Bezirk, Mariahilf",Spiegelfeld Immobilien GmbH,https://cache.willhaben.at/mmo/5/380/090/405_314438522_hoved.jpg
Exklusive 131 m2 DG Wohnung mit fantastischem Fernblick - Mariahilf,825000,131 m²,"1060 Wien, 06. Bezirk, Mariahilf",Immobiliaris GmbH,https://cache.willhaben.at/mmo/3/380/153/483_-800525655_hoved.jpg
++ Wohnen beim Raimund Theater ++ Traumhafte 4-Zimmer-Stil-Altbauwohnung mit hohen Räumen in absoluter Ruhelage/ Erstbezug,597000,93 m²,"1060 Wien, 06. Bezirk, Mariahilf",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/5/380/137/965_1698123_hoved.jpg
"++ ALT-WIEN Stil ++ traumhafte 4-Zimmer Altbauwohnung in Ruhelage mitten im Sechsten nahe dem Raimund Theater ** 3,30m Raumhöhe!!",647000,98 m²,"1060 Wien, 06. Bezirk, Mariahilf",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/7/380/135/657_902229233_hoved.jpg
"EINZIGARTIGE PRIVATSPHÄRE - 360m² PENTHOUSE - 2 Terrassen&160m² Dachterrasse, Pool, Whirlpool, Feuerstelle, Outdoorküche",5900000,360 m²,"1060 Wien, 06. Bezirk, Mariahilf",Wohnkonzept Immobilien GmbH,https://cache.willhaben.at/mmo/7/373/420/187_1364521152_hoved.jpg
"++10% PROVISIONSRABATT++ Fantastische 4-Zimmer ALTBAU-ERSTBEZUG, gleich beim RAIMUND Theater! hohe Räume!",597890,94 m²,"1060 Wien, 06. Bezirk, Mariahilf",Adonia Immobilien GmbH,https://cache.willhaben.at/mmo/6/379/872/846_-986060739_hoved.jpg
.***80 m² Wfl.**IM WUNDERSCHÖNEN 6. BEZIRK**3-ZIMMER***,397000,80 m²,"1060 Wien, 06. Bezirk, Mariahilf",FairIn OG,https://cache.willhaben.at/mmo/9/379/870/349_-116923506_hoved.jpg
Neubau EINFACH EINZIEHEN UND WOHLFÜHLEN,279000,49 m²,"1060 Wien, 06. Bezirk, Mariahilf",,https://cache.willhaben.at/mmo/6/378/789/906_1386801346_hoved.jpg
"Altbau-Erstbezug , Maisonette in Mariahilf , 2 Balkone , Innenhofruhelage !",460000,90 m²,"1060 Wien, 06. Bezirk, Mariahilf",Opernreal Immobilienvermittlung GmbH,https://cache.willhaben.at/mmo/7/379/778/637_1807147491_hoved.jpg
"Gemütliche 2-Zimmer-Wohnung, klimatisiert",240000,47 m²,"1060 Wien, 06. Bezirk, Mariahilf",EVA Immobilien,https://cache.willhaben.at/mmo/7/379/752/477_1934814152_hoved.jpg
Wunderschöne Dachgeschoßwohnung- romantische Terrasse- zentrale Ruhelage,495000,81 m²,"1060 Wien, 06. Bezirk, Mariahilf",aeterna immobilien GmbH,https://cache.willhaben.at/mmo/6/338/152/636_-517477927_hoved.jpg
Exclusiver Stilatbau in BEST-LAGE Nächst Mariahilfer Straße,349000,54 m²,"1060 Wien, 06. Bezirk, Mariahilf",Omerovic Immobilien GmbH,https://cache.willhaben.at/mmo/9/379/690/349_872674099_hoved.jpg
"Nähe Mariahilfer Straße - U3 Zieglergasse, sowie U2 & U5 Pilgramgasse - Optimale Infrastruktur & Verkehrsanbindung - Naschmarkt - RUHELAGE - Helle 2 Zimmerwohnung",437000.1,67 m²,"1060 Wien, 06. Bezirk, Mariahilf",teamneunzehn.at Immobilienmanagement GmbH & Co KG,https://cache.willhaben.at/mmo/4/380/513/234_140966591_hoved.jpg
Loftähnlicher 150m² Altbau mit Einbauküche in Bestzustand - 1060 Wien,790000,150 m²,"1060 Wien, 06. Bezirk, Mariahilf",SITARZ & PARTNER IMMOBILIEN GMBH,https://cache.willhaben.at/mmo/4/343/779/554_1964041939_hoved.jpg
EINZIGARTIG. WOHNEN. | 1060 Mariahilf,509000,58 m²,"1060 Wien, 06. Bezirk, Mariahilf",Real-Treuhand Immobilien Vertriebs GmbH - WIEN,https://cache.willhaben.at/mmo/8/349/517/498_705822529_hoved.jpg
"PENTHOUSE - EXTREM Raumhöhe (3,3m) trifft traumhaften ""Wiener Werkstätten""-Stilaltbau nahezu ohne Schrägen + Flachdach mit 360° Rundumblick",1736000.1,180 m²,"1060 Wien, 06. Bezirk, Mariahilf",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/6/372/820/586_-1080303680_hoved.jpg
Traumhafte Altbauwohnung! Zentrumsnah!,1650000,147 m²,"1060 Wien, 06. Bezirk, Mariahilf",Coricon Properties,https://cache.willhaben.at/mmo/7/360/973/287_1063840370_hoved.jpg
ALTHAN PARK - Detail verliebt wohnen.,1990000,117 m²,"1090 Wien, 09. Bezirk, Alsergrund",6B47 Real Estate Investors AG,https://cache.willhaben.at/mmo/1/274/992/401_1711791927_hoved.jpg
ROSSAUER GASSE | exklusive 4-Zimmer-Dachgeschoß-Wohnung mit Balkon und Dachterrasse | BELAGSFERTIG,1390000,161 m²,"1090 Wien, 09. Bezirk, Alsergrund",MMI Mario Molnar Immobilienberatung,https://cache.willhaben.at/mmo/6/380/570/096_-75438624_hoved.jpg
ROSSAUER GASSE | exklusive 3-Zimmer-Dachgeschoß-Wohnung mit Balkon und Dachterrasse | BELAGSFERTIG,2800000,112 m²,"1090 Wien, 09. Bezirk, Alsergrund",MMI Mario Molnar Immobilienberatung,https://cache.willhaben.at/mmo/1/380/570/101_-394859726_hoved.jpg
Exklusive Wohnoase - Servitenviertel,275000,176 m²,"1090 Wien, 09. Bezirk, Alsergrund",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/8/380/539/288_1464719550_hoved.jpg
"1 1/2 Zimmer Altbauwohnung in der Vereinsstiege, tolle Lage!",2400000,49 m²,"1090 Wien, 09. Bezirk, Alsergrund",CONCREET. GmbH,https://cache.willhaben.at/mmo/7/380/540/277_1249895194_hoved.jpg
Luxuriöses Lebensgefühl über den Dächern Wiens,1980000,131 m²,"1090 Wien, 09. Bezirk, Alsergrund",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/7/380/538/607_692767733_hoved.jpg
Prestigelage - Luxuspenthouse im Servitenviertel,999000,141 m²,"1090 Wien, 09. Bezirk, Alsergrund",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/2/380/537/182_-1829122498_hoved.jpg
JUWEL| Sanierungsbedürftige ALTBAUWOHNUNG mit TERRASSE in unmittelbarer Innenstadtnähe,639600.1,150 m²,"1090 Wien, 09. Bezirk, Alsergrund",RIWOG Real Estate Management GmbH,https://cache.willhaben.at/mmo/6/380/529/346_2048519677_hoved.jpg
SCHAUEN SIE! - KLASSIK TRIFFT MODERNE! EXKLUSIVES WOHNEN MIT ALTBAUCHARME - WIENER GRÜNDERZEITHAUS MIT MODERNEN ELEMENTEN,1290000,76 m²,"1090 Wien, 09. Bezirk, Alsergrund",teamneunzehn.at Immobilienmanagement GmbH & Co KG,https://cache.willhaben.at/mmo/9/380/495/639_865005398_hoved.jpg
360 Grad Rundgang: Fantastisches Panorama von Penthouse-Terrasse - 4 Zimmer Erstbezug mit Dachterrassen-Traumblick + Stellplatz,198000,139 m²,"1090 Wien, 09. Bezirk, Alsergrund",Dr. Vospernik Immobilien,https://cache.willhaben.at/mmo/9/377/087/089_1377824779_hoved.jpg
"Eigentumswohnung: gute Lage, gute Raumaufteilung, guter Preis!",1550000,35 m²,"1090 Wien, 09. Bezirk, Alsergrund",Repcon Immobilien GmbH,https://cache.willhaben.at/mmo/0/380/483/770_-1983907089_hoved.jpg
Luxuriös sanierte Altbauwohnung,428000,136 m²,"1090 Wien, 09. Bezirk, Alsergrund",NOVEL REAL,https://cache.willhaben.at/mmo/2/373/796/342_344649335_hoved.jpg
ERSTBEZUG- Altbauwohnung in Top Zustand,639600,63 m²,"1090 Wien, 09. Bezirk, Alsergrund",RED Real Estates Development Bauträger und Immobilien GmbH,https://cache.willhaben.at/mmo/0/338/698/110_-2092961252_hoved.jpg
FUCHSTHALL20,682300,76 m²,"1090 Wien, 09. Bezirk, Alsergrund",CBRE GmbH,https://cache.willhaben.at/mmo/0/373/686/080_-411697842_hoved.jpg
FUCHSTHALL20,641200,88 m²,"1090 Wien, 09. Bezirk, Alsergrund",CBRE GmbH,https://cache.willhaben.at/mmo/7/373/686/087_-411697842_hoved.jpg
FUCHSTHALL20,574400,78 m²,"1090 Wien, 09. Bezirk, Alsergrund",CBRE GmbH,https://cache.willhaben.at/mmo/1/373/686/091_-411697842_hoved.jpg
FUCHSTHALL20,844700,64 m²,"1090 Wien, 09. Bezirk, Alsergrund",CBRE GmbH,https://cache.willhaben.at/mmo/7/373/686/097_-411697842_hoved.jpg
FUCHSTHALL20,1170000,98 m²,"1090 Wien, 09. Bezirk, Alsergrund",CBRE GmbH,https://cache.willhaben.at/mmo/9/373/686/099_-411697842_hoved.jpg
3D-Rundgang-AM HOF - Stilaltbauwohnung mit großzügigen Wohnräumen und Freifläche nächst Votivkirche,648000,108 m²,"1090 Wien, 09. Bezirk, Alsergrund",lage eins GmbH,https://cache.willhaben.at/mmo/2/380/294/852_-1973950883_hoved.jpg
DIE STÄDTISCHE - Wunderschöne Stadtwohnung mit exklusiver Ausstattung,895000,65 m²,"1090 Wien, 09. Bezirk, Alsergrund",lage eins GmbH,https://cache.willhaben.at/mmo/9/380/294/859_-1006570675_hoved.jpg
ZUM RITTER - Repräsentative 2 Zimmer Altbauwohnung nächst Votivkirche,375000.71,89 m²,"1090 Wien, 09. Bezirk, Alsergrund",lage eins GmbH,https://cache.willhaben.at/mmo/9/380/291/789_-1243683316_hoved.jpg
EXKLUSIVES WOHNJUWEL IM BELIEBTEN 9. WIENER GEMEINDEBEZIRK - KLASSIK TRIFFT MODERNE,1400000,57 m²,"1090 Wien, 09. Bezirk, Alsergrund",teamneunzehn.at Immobilienmanagement GmbH & Co KG,https://cache.willhaben.at/mmo/4/380/278/424_944498117_hoved.jpg
Dachgeschoß,395000,260 m²,"1090 Wien, 09. Bezirk, Alsergrund",Spiegelfeld Immobilien GmbH,https://cache.willhaben.at/mmo/2/380/090/412_29550485_hoved.jpg
"Servitenviertel - Top attraktives, ruhiges Altbauappartement im Jahrhundertwendehaus",529000,60 m²,"1090 Wien, 09. Bezirk, Alsergrund",Mautner Markhof Immobilien,https://cache.willhaben.at/mmo/6/380/153/466_-1685916644_hoved.jpg
"Freundliches Stadtapartment nähe Laubepark, bezugsfertig und möbliert ( Top 7: 1 Zimmer, ca. 30m², EUR 110.000, -)",484100,30 m²,"1100 Wien, 10. Bezirk, Favoriten",Immofair Immobilienvermittlungs GmbH,https://cache.willhaben.at/mmo/1/378/579/441_-900864311_hoved.jpg
atemberaubende Ausblicke über das Quartier Belvedere - provisionsfrei,5000,68 m²,"1100 Wien, 10. Bezirk, Favoriten",SIGNA LIVING,https://cache.willhaben.at/mmo/9/204/981/079_-2005802136_hoved.jpg
Gemeinde Wohnung mit Vormerkschein,6300000,64 m²,"1100 Wien, 10. Bezirk, Favoriten",,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Luxus pur! Designer-Penthouse mit Panoramablick,239000,236 m²,"1100 Wien, 10. Bezirk, Favoriten","Engel & Völkers Wien, EuV Immobilien GmbH",https://cache.willhaben.at/mmo/0/356/088/340_-363657005_hoved.jpg
"Erstbezug nach Sanierung, 2. Liftstock, hohseitig, absolute Ruhelage!",150000,65 m²,"1100 Wien, 10. Bezirk, Favoriten",Convesta Consulting & Immobilien GmbH,https://cache.willhaben.at/mmo/0/380/552/910_-1163011100_hoved.jpg
"helle 2 Zi. Wohnung, WG-Eignung - Küche separat",99000,56 m²,"1100 Wien, 10. Bezirk, Favoriten",RE/MAX Living Home Sweet Home Immobilien GmbH,https://cache.willhaben.at/mmo/0/380/547/580_-1238504807_hoved.jpg
PAUL & Partner: Altbauwohnung - Helle Garconniere,188000,36 m²,"1100 Wien, 10. Bezirk, Favoriten",Paul & Partner Immobilien. Investments.,https://cache.willhaben.at/mmo/2/380/544/612_1772545994_hoved.jpg
Erstbezug! 3 - Zimmer Wohnung Nähe U1 Keplerplatz!,299000,69 m²,"1100 Wien, 10. Bezirk, Favoriten",GULZ & PARTNER Property Investment GmbH,https://cache.willhaben.at/mmo/8/380/544/468_-367990508_hoved.jpg
Modernes Wohnen im Quartier Belvedere,175000,50 m²,"1100 Wien, 10. Bezirk, Favoriten",,https://cache.willhaben.at/mmo/6/380/519/136_-2124161566_hoved.jpg
Vorsorge- 2 Zimmer-Wohnung,269000,50 m²,"1100 Wien, 10. Bezirk, Favoriten",,https://cache.willhaben.at/mmo/4/379/685/814_-369501044_hoved.jpg
Neu saniertes 3-Zimmer-Eigentum - direkt vom Eigentümer - PROVISIONSFREI,187000,76 m²,"1100 Wien, 10. Bezirk, Favoriten",SmartSelect GmbH,https://cache.willhaben.at/mmo/2/337/704/532_775419777_hoved.jpg
ANLEGERGEEIGNET ! 2-Zimmer-Wohnung in Top-Verkehrslage nächst SONNWENDVIERTEL,168000,47 m²,"1100 Wien, 10. Bezirk, Favoriten",artedomus. e.U.,https://cache.willhaben.at/mmo/8/380/537/728_-410002406_hoved.jpg
Provisionsfrei - Ruhige 2-Zimmer-Altbauwohnung im 2. Stock - optimaler Grundriß - zentrale Lage,595000,50 m²,"1100 Wien, 10. Bezirk, Favoriten",,https://cache.willhaben.at/mmo/8/377/094/528_875486068_hoved.jpg
Favorite Spring: moderne DG-Maisonette mit Weitblick - PROVISIONSFREI,199000,107 m²,"1100 Wien, 10. Bezirk, Favoriten",Ulreich Bauträger GmbH,https://cache.willhaben.at/mmo/9/380/505/069_-817109244_hoved.jpg
"""++ Reumannplatz++""",136000,57 m²,"1100 Wien, 10. Bezirk, Favoriten",RE/MAX Donau-City-Immobilien,https://cache.willhaben.at/mmo/5/373/834/735_1936190963_hoved.jpg
Helle 2 Zimmerwohnung mit bester Infrastruktur nahe Erholungsgebiet Wienerberg!,407135,51 m²,"1100 Wien, 10. Bezirk, Favoriten",RE/MAX Emotion,https://cache.willhaben.at/mmo/9/380/482/159_-1257445370_hoved.jpg
"Wunderschöne, komplett möblierte Wohnung am Hauptbahnhof!",235000,81 m²,"1100 Wien, 10. Bezirk, Favoriten",NOVEL REAL,https://cache.willhaben.at/mmo/4/380/447/134_-1811944813_hoved.jpg
Barrierefreie 3-Zimmer-DG-Wohnung mit phantastischem Fernblick,239900,64 m²,"1100 Wien, 10. Bezirk, Favoriten",Galerie Immobilien GmbH,https://cache.willhaben.at/mmo/9/380/447/139_621736665_hoved.jpg
nette 2 Zimmer Eigentumswohnung in Wien 1100 zu kaufen,185000,67 m²,"1100 Wien, 10. Bezirk, Favoriten",Dream Immobilien,https://cache.willhaben.at/mmo/7/350/330/857_780922239_hoved.jpg
Zum Verkauf eine sanierungsbedürftige Wohnung 1100 Wien,329000,47 m²,"1100 Wien, 10. Bezirk, Favoriten",4M Immobilien&Consulting GmbH & Co KG,https://cache.willhaben.at/mmo/7/379/701/377_216985517_hoved.jpg
"""Biotope City"" - Wienerberg - Eigentum, 1100 Wien, Top 183",269000,63 m²,"1100 Wien, 10. Bezirk, Favoriten",ARWAG Immobilientreuhand Gesellschaft m.b.H.,https://cache.willhaben.at/mmo/6/347/615/136_357952969_hoved.jpg
"""Biotope City"" - Wienerberg - Eigentum, 1100 Wien, Top 179",389000,48 m²,"1100 Wien, 10. Bezirk, Favoriten",ARWAG Immobilientreuhand Gesellschaft m.b.H.,https://cache.willhaben.at/mmo/5/332/221/885_357952969_hoved.jpg
"""Biotope City"" - Wienerberg - Eigentum, 1100 Wien, Top 283",469000,74 m²,"1100 Wien, 10. Bezirk, Favoriten",ARWAG Immobilientreuhand Gesellschaft m.b.H.,https://cache.willhaben.at/mmo/6/334/608/416_357952969_hoved.jpg
"""Biotope City"" - Wienerberg - Eigentum, 1100 Wien, Top 286",235000,83 m²,"1100 Wien, 10. Bezirk, Favoriten",ARWAG Immobilientreuhand Gesellschaft m.b.H.,https://cache.willhaben.at/mmo/9/334/608/419_357952969_hoved.jpg
NEU! 3-Zimmer - Erstbezug nach Komplettsanierung - Bezug ab sofort,340000,67 m²,"1110 Wien, 11. Bezirk, Simmering",Raum Real Immobilien GmbH,https://cache.willhaben.at/mmo/1/355/912/121_170255081_hoved.jpg
3 Zimmer Wohnung,399900,85 m²,"1110 Wien, 11. Bezirk, Simmering",,https://cache.willhaben.at/mmo/4/379/045/384_-1983454048_hoved.jpg
Interessante Investitionsgelegenheit!,259100,110 m²,"1110 Wien, 11. Bezirk, Simmering",IMMOSKY Skylead Real GmbH - Wien,https://cache.willhaben.at/mmo/3/380/568/863_-406851439_hoved.jpg
Provisionsfrei - Hugogasse 8 - Bleibende Werte im Simmeringer Grätzl,288000,47 m²,"1110 Wien, 11. Bezirk, Simmering",WINEGG Realitäten GmbH,https://cache.willhaben.at/mmo/7/356/067/187_-1486297589_hoved.jpg
WOHLFÜHLEN UND GENIESSEN,129000,60 m²,"1110 Wien, 11. Bezirk, Simmering",IMMOSKY Skylead Real GmbH - Wien,https://cache.willhaben.at/mmo/2/380/447/272_2056841832_hoved.jpg
WOHNEN MIT BALKON UND STELLPLATZ,249900,37 m²,"1110 Wien, 11. Bezirk, Simmering",IMMOKONTOR - Srnka e.U.,https://cache.willhaben.at/mmo/7/380/351/967_-1941445776_hoved.jpg
NEU! 3-Zimmer - Erstbezug nach Komplettsanierung - Bezug ab sofort,372768,67 m²,"1110 Wien, 11. Bezirk, Simmering",Raum Real Immobilien GmbH,https://cache.willhaben.at/mmo/1/355/912/121_170255081_hoved.jpg
* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 11,390999,94 m²,"1110 Wien, 11. Bezirk, Simmering",Real Immobilien.wien,https://cache.willhaben.at/mmo/3/380/223/793_1078129253_hoved.jpg
* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 9,380110,103 m²,"1110 Wien, 11. Bezirk, Simmering",Real Immobilien.wien,https://cache.willhaben.at/mmo/1/380/223/791_2059331808_hoved.jpg
* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 10,129000,96 m²,"1110 Wien, 11. Bezirk, Simmering",Real Immobilien.wien,https://cache.willhaben.at/mmo/2/380/223/792_195290459_hoved.jpg
"sonnige, schöne Wohnung Nähe Enkplatz U3- Beratung auch auf Russisch",345000,40 m²,"1110 Wien, 11. Bezirk, Simmering",ALPHA-DOMIZIL e.U.,https://cache.willhaben.at/mmo/8/380/221/558_2046751666_hoved.jpg
Perfekte Lage- Grenze zum 3. Bezirk -direkt beim Gasometer -Wohnung auf zwei Etagen- Informationen auch auf Russisch,199000,83 m²,"1110 Wien, 11. Bezirk, Simmering",ALPHA-DOMIZIL e.U.,https://cache.willhaben.at/mmo/9/380/221/559_2113532425_hoved.jpg
PRIVATVERKAUF wunderschöne lichtdurchflutete helle ruhige Wohnung im 4. Stock mit Weitblick und Blick in den grünen Innenhof provisionsfrei,264000,67 m²,"1110 Wien, 11. Bezirk, Simmering",,https://cache.willhaben.at/mmo/4/380/206/594_360365083_hoved.jpg
Top 1,380000,54 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 2,309000,72 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 4,344000,71 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 9,278500,88 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 11,299500,70 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 14,291000,73 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 16,318000,71 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 19,296000,74 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 21,230000,70 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
Top 22,450000,54 m²,"1110 Wien, 11. Bezirk, Simmering",Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.,https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png
"JOSEFIN! Sanierter Stilaltbau-Erstbezug mitten in der Josefstadt! (Top 6 84m² + 23m² Terrasse EUR 550.000, -)",124900,84 m²,"1080 Wien, 08. Bezirk, Josefstadt",Immofair Immobilienvermittlungs GmbH,https://cache.willhaben.at/mmo/8/379/643/948_1089856524_hoved.jpg
Geldanlage: 3-Zi. -Whg. im Ferienresort 1 h von Wien,96900,58 m²,"1080 Wien, 08. Bezirk, Josefstadt",Planreal Immobilien & Bauträger GmbH,https://cache.willhaben.at/mmo/2/380/499/902_-675749811_hoved.jpg
Geldanlage: 2-Zi. -Whg. im Ferienresort 1 h von Wien,323400,42 m²,"1080 Wien, 08. Bezirk, Josefstadt",Planreal Immobilien & Bauträger GmbH,https://cache.willhaben.at/mmo/8/380/499/908_-32382723_hoved.jpg
"Topsaniertes, modernes Appartement",598000,42 m²,"1080 Wien, 08. Bezirk, Josefstadt","ERA Favorite Immobilien, Real Estate Pool",https://cache.willhaben.at/mmo/4/380/474/604_1503259720_hoved.jpg
JETZT INVESTIEREN!!!!!! - VERMIETETE WOHNUNGEN IN GUTEN LAGEN -JETZT KAUFEN!!!!!,690000,665 m²,"1080 Wien, 08. Bezirk, Josefstadt",Dr. Vospernik Immobilien,https://cache.willhaben.at/mmo/1/373/554/211_-531043883_hoved.jpg
Prachtvoller Altbau,1795000,100 m²,"1080 Wien, 08. Bezirk, Josefstadt",Spiegelfeld Immobilien GmbH,https://cache.willhaben.at/mmo/4/380/090/414_-1569855100_hoved.jpg
WohnTraum mitten im 8. Bezirk,770000,176 m²,"1080 Wien, 08. Bezirk, Josefstadt",Wohnen & Wert Realitätenvermittlung GmbH,https://cache.willhaben.at/mmo/2/380/099/762_-436414646_hoved.jpg
Dachgeschosstraum mit südseitiger Terrasse nähe Wiener Rathaus in 1080 Wien zu kaufen,400000,106 m²,"1080 Wien, 08. Bezirk, Josefstadt",ÖRAG Immobilien Vermittlung GmbH,https://cache.willhaben.at/mmo/6/380/093/066_-199822670_hoved.jpg
"JOSEFIN! Top sanierter Stilaltbauwohnung mit Garten! (Top 2B: ca. 57,59m² + 68mEUR Garten: EUR 400.000, -)",549000,59 m²,"1080 Wien, 08. Bezirk, Josefstadt",Immofair Immobilienvermittlungs GmbH,https://cache.willhaben.at/mmo/4/373/322/484_-1777010809_hoved.jpg
